curr_codes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ILS,,,,2.934,2.99441,3.00829,3.18566,3.44457,3.79504,4.13594,4.07708,4.20312,4.7318,4.54201,4.46981,4.47658,4.44896,4.10517,3.58203,3.92323,3.73131,3.57289,3.84974,3.60614,3.48975,,,,,
INR,,,,31.36756,31.3705,32.40712,35.3799,36.29446,41.23061,43.03643,44.86351,47.11764,48.5112,46.50087,45.20155,43.9785,45.17686,41.34102,43.6193,48.42377,45.71521,46.84664,53.4631,58.44113,61.79985,,,,,
IQD,144.72186,134.48329,126.60525,111.09989,72.79619,263.22648,108.75179,1084.45159,1200,1206.9863,1755.57377,2661.84822,2950.31507,2976.96329,2201.19645,1431.86003,1412.20225,1218.05348,1172.57721,1139.67099,1151.66247,1158.33868,1150.56429,1147.8631,1157.63615,,,,,
IRR,,,,1583,1583,1583,1583,2398.03836,1750.53836,1750.30685,1750,1750,6889.0411,7900,7900,8174.2937,8837.48419,9017.72937,9296.1512,9706.63181,9926.606,10494.16356,12038.80929,17786.91342,24680.92308,,,,,
ISK,,,,,,64.85261,66.50321,70.7943,71.10842,72.37353,78.81258,97.56411,91.3818,76.51146,70.09605,62.77845,69.71313,63.89918,86.94559,122.80433,124.27661,115.7234,124.68273,121.68775,115.04231,,,,,
JMD,,,,,,33.51612,36.32944,34.31195,35.79781,38.29273,42.2125,45.46055,47.55856,53.1669,57.64456,59.33446,64.09105,67.72441,70.36006,85.5905,85.55814,84.26944,86.97791,98.16254,100.10111,,,,,
JOD,,,,0.7002,0.69768,0.69989,0.70878,0.70832,0.70893,0.70904,0.7083,0.70753,0.70333,0.70455,0.70511,0.70537,0.70401,0.70345,0.70332,0.70425,0.70397,0.70612,0.70614,0.70594,0.70488,,,,,
JPY,144.72186,134.48329,126.60525,111.09989,102.17163,94.00318,108.75179,120.96862,130.80699,113.74442,107.78293,121.48302,125.18019,115.92337,108.13388,110.08624,116.29348,117.77091,103.41893,93.57562,87.78482,79.70298,79.78738,97.57812,104.70477,,,,,
KES,,,,68.518,55.79184,51.37055,57.05869,58.55149,60.26749,70.23332,76.03068,78.33182,78.31381,75.47807,78.80679,75.26232,71.56903,66.78103,66.80897,74.73711,76.19411,87.42397,83.20525,84.76007,85.42727,,,,,
KGS,,,,,,,,,,,,,,,,,41.29991,39.84082,36.56451,42.96392,45.93926,46.10797,46.9666,48.39863,49.164,,,,,
KHR,,,,,,2220,2300,2750.0137,3748.27671,3795.85795,3818.15913,3781.6211,3653.95562,3705.78356,3788.40027,3866.77318,3888.99008,3899.20847,3955.54817,4080.83567,4137.0183,4019.72452,3991.12481,3961.88789,3941.93308,,,,,
KMF,,,,,,367.27839,382.19887,433.64218,444.52892,456.2606,534.37469,549.93211,519.82786,433.87274,392.51637,391.62718,391.24621,359.64036,336.22514,353.79735,370.9807,352.7188,382.65351,369.81999,359.70962,,,,,
KPW,,,,,,2.15,2.15,2.18151,2.2,2.2,2.2,2.2,2.2,2.2,16.41257,170,141,140,140,139.57534,135,135,135,135,135,,,,,
KRW,,,,808.22286,803.59904,771.2263,804.6291,952.7711,1397.91096,1188.86849,1129.94402,1287.50192,1243.29288,1187.52082,1141.62978,1021.12264,940.3339,922.81438,1096.7425,1272.67781,1153.26488,1105.72989,1123.01902,1090.41666,1057.94077,,,,,
KWD,0.28999,0.289,0.29335,0.30146,0.29751,0.29841,0.29937,0.3033,0.30467,0.30427,0.30685,0.3063,0.30356,0.29687,0.29396,0.29159,0.28896,0.2831,0.26757,0.28685,0.28568,0.27585,0.27964,0.28336,0.28195,,,,,
KYD,,,,,,0.82943,0.82839,0.82816,0.8284,0.81539,0.802,0.802,0.81528,0.8189,0.81774,0.81893,0.8163,0.8163,0.8163,0.81321,0.80631,0.80632,0.80764,0.80974,0.8187,,,,,
KZT,,,,,,63.45592,67.77276,75.55436,78.5567,119.58649,142.14227,145.67201,149.92855,146.44315,131.1506,131.60329,121.45857,119.13119,118.28006,145.47592,145.25334,144.56383,146.86482,150.02205,152.32315,,,,,
LAK,,,,,,781.09091,920,969.5726,2469.53425,5497.80822,7516.78631,7427.52482,7280.40055,7373.2,7620.36148,9212.15937,9659.99685,9338.88005,8577.41202,8339.194,8131.03885,7920.42518,7880.7177,7716.974,7890.35,,,,,
LBP,,,,1714.53214,1679.01918,1620.41718,1569.82238,1537.59649,1515.13548,1503.65622,1508.81762,1502.15726,1459.64082,1464.59534,1480.29208,1501.29474,1471.77641,1483.54751,1487.50885,1485.81427,1486.82151,1491.26638,1486.73863,1487.48789,1480.15615,,,,,
LKR,,,,,,53.16007,55.22561,58.89084,64.73688,70.6346,76.62024,89.19739,95.40554,96.3123,100.97903,100.38149,103.59814,110.19242,108.0681,114.69858,112.79627,110.31668,127.19349,128.88134,130.60715,,,,,
LRD,,,,,,1,1,1,18.73699,35.76327,0.425,26.3826,0.99166,0.995,0.995,37.77093,56.14932,58.69863,62.1735,67.77301,70.5929,71.69986,73.1912,76.06967,81.21154,,,,,
LSL,,,,,,3.65203,4.29514,4.60406,5.49631,6.19647,6.23,6.23,9.26164,7.53728,6.44219,6.26067,6.62504,6.93536,8.1452,8.32668,7.21711,7.1595,8.09267,9.63452,10.63838,,,,,
LTL,,,,,,3.99694,3.99706,3.99801,3.99941,4,3.99935,3.99733,3.66959,3.05556,2.77786,2.7763,2.7469,2.516,2.34223,2.47228,2.60017,2.47717,2.67969,2.59227,2.51297,,,,,
LVL,,,,,,0.53522,0.54712,0.57828,0.58821,0.58685,0.60569,0.625,0.61499,0.56655,0.53491,0.55927,0.553,0.50907,0.47533,0.50422,0.53272,0.50564,0.54017,0.52597,0.51412,,,,,
LYD,,,,,,0.3555,0.3555,0.3555,0.35912,0.45681,0.5019,0.58288,1.18665,1.21979,1.29407,1.25464,1.2487,1.22631,1.19919,1.23024,1.24964,1.20685,1.23223,1.2416,1.22292,,,,,
MAD,,,,,9.08574,8.425,8.67748,9.49602,9.58637,9.78206,10.60628,11.2684,10.97035,9.47495,8.78134,8.77097,8.68379,8.13346,7.69136,8.03143,8.34995,8.0317,8.55109,8.32865,8.12764,,,,,
MDL,,,,,,,,,,,,,,,,,12.72497,11.78117,10.16555,10.91631,12.17463,11.52335,11.87846,12.32419,12.81139,,,,,
MGA,,,,,,,,,,,,,,,,1980.98108,2075.99088,1823.22,1669.7565,1923.20293,2066.91145,1991.26381,2161.5877,2180.46241,2218.01462,,,,,
MKD,,,,,,,,,,,,,,,,50.9685,47.77078,44.0516,41.62932,43.95594,46.08746,43.89454,47.5664,46.16272,44.6936,,,,,
MMK,,,,,,5.45387,5.87223,6.22115,6.2517,6.11776,4.85588,6.66604,6.59568,6.24405,6.25419,6.22936,6.14014,6.242,6.32401,6.31771,6.31361,6.31585,620.88897,917.43785,969.20077,,,,,
MNT,,,,,,427.73636,466.09683,514.2037,819.41082,990.84033,1068.95566,1096.26986,1103.8603,1121.29696,1120.37,1120.37,1134.99112,1169.73855,1165.9203,1439.29827,1350.84658,1254.63014,1351.52984,1506.26466,1648.92308,,,,,
MOP,,,,,,7.98822,7.98997,7.99394,8.0017,7.99171,8.00955,7.91027,7.69745,7.75184,7.76203,7.68796,7.68638,7.80516,7.89238,7.84487,7.85152,7.87471,7.83287,7.83944,7.84083,,,,,
MRO,,,,123.41559,122.43355,129.06733,136.19545,150.8257,186.61684,211.59016,237.34557,251.84367,263.85833,256.16397,249.87432,261.97519,260.83727,253.2614,237.58945,257.33613,271.55964,277.43197,291.93955,291.21565,286.78031,,,,,
MUR,,,,18.45199,18.01115,17.72553,19.63302,20.97559,23.90637,25.09914,26.01681,28.91155,29.66898,27.72197,27.21561,29.10742,31.34817,30.97485,27.52718,30.83214,29.69676,27.64607,28.93876,29.64721,29.134,,,,,
MVR,,,,,,14.22818,11.77,11.77,11.77,11.41222,11.62486,11.72852,11.94482,12.69,12.7423,12.72458,12.60523,12.65837,12.63668,12.6225,12.61837,14.26119,15.21039,15.19256,15.24775,,,,,
MWK,,,,4.43743,4.45227,6.07162,15.18203,16.18935,31.05334,43.78132,46.82898,68.71539,73.95633,94.11472,106.11484,115.19467,131.50976,136.15871,138.12128,138.67166,148.18092,154.74937,241.91322,355.93013,421.64138,,,,,
MXN,2838.98445,3018.86312,3093.66978,28.72281,3.36858,6.22579,7.59364,7.91459,9.14175,9.54309,9.45315,9.32894,9.64901,10.77625,11.26707,10.88031,10.89156,10.91873,11.13328,13.48489,12.62507,12.41826,13.14732,12.75434,13.06768,,,,,
MXV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR,2.70349,2.74893,2.54656,2.57296,2.62176,2.50737,2.51506,2.81501,3.91436,3.79927,3.7998,3.7989,3.79709,3.79748,3.79869,3.78517,3.653,3.42625,3.32474,3.51349,3.21099,3.05283,3.07766,3.1372,3.27932,,,,,
MZN,,,,4.915,4.915,4.915,10.24854,11.27955,11.77666,12.48503,15.18549,20.11263,23.06818,23.1699,22.03037,22.69359,25.73881,25.45573,24.04287,26.73929,32.91632,28.72603,27.93173,29.77495,29.71231,,,,,
NAD,,,,,,3.65244,4.28161,4.60404,5.52465,6.0949,6.94447,8.5658,10.35857,7.43918,6.33444,6.31838,6.65336,6.92425,8.12927,8.24392,7.0768,7.16184,8.09453,9.63452,10.63838,,,,,
NGN,,,,,21.7761,31.24444,81.14891,81.46987,85.54518,95.135,104.33392,113.33866,119.12737,128.86901,131.01798,130.48393,124.23777,122.44775,117.19116,148.26502,149.27274,154.26019,157.53689,157.70972,157.68969,,,,,
